customer_id,recency,frequency,monetary_value,R_Score,F_Score,M_Score,RFM_Value,Customer_Profile
135,115,7,4549,1,3,4,134,Bronze Customer
136,20,8,3543,3,4,3,343,Silver Customer
137,27,5,1496,3,2,1,321,Silver Customer
138,64,7,3377,2,3,3,233,Gold Customer
140,3,6,2699,4,3,2,432,Platinum Customer
141,159,3,2138,1,1,2,112,Bronze Customer
142,4,11,3917,4,4,3,443,Platinum Customer
143,13,4,2474,3,1,2,312,Silver Customer
145,28,7,3140,3,3,3,333,Silver Customer
146,194,2,217,1,1,1,111,Bronze Customer
147,34,6,5034,3,3,4,334,Silver Customer
149,18,4,1680,3,1,1,311,Gold Customer
150,75,4,2446,2,1,2,212,Gold Customer
151,0,7,5665,4,3,4,434,Platinum Customer
152,158,2,1966,1,1,2,112,Bronze Customer
153,64,7,5522,2,3,4,234,Gold Customer
155,8,3,1088,4,1,1,411,Silver Customer
156,16,5,3095,3,2,3,323,Silver Customer
157,135,3,294,1,1,1,111,Bronze Customer
159,66,6,2935,2,3,3,233,Gold Customer
160,93,2,2614,1,1,2,112,Bronze Customer
162,98,3,1329,1,1,1,111,Bronze Customer
163,114,2,1101,1,1,1,111,Bronze Customer
164,198,3,786,1,1,1,111,Bronze Customer
165,8,8,6107,4,4,4,444,Platinum Customer
166,63,7,4063,2,3,3,233,Gold Customer
169,61,3,696,2,1,1,211,Gold Customer
170,234,3,1779,1,1,1,111,Bronze Customer
171,18,8,4833,3,4,4,344,Silver Customer
172,11,7,2348,3,3,2,332,Silver Customer
173,15,9,6549,3,4,4,344,Silver Customer
174,11,10,7628,3,4,4,344,Silver Customer
175,64,5,2170,2,2,2,222,Gold Customer
176,22,4,3025,3,1,3,313,Silver Customer
177,37,12,4108,2,4,4,244,Gold Customer
179,40,3,1814,2,1,2,212,Gold Customer
180,11,7,4065,3,3,3,333,Silver Customer
181,50,5,2365,2,2,2,222,Gold Customer
182,13,7,5409,3,3,4,334,Silver Customer
183,102,6,3187,1,3,3,133,Bronze Customer
184,32,3,2181,3,1,2,312,Silver Customer
186,23,6,2166,3,3,2,332,Silver Customer
188,15,6,2658,3,3,2,332,Silver Customer
189,3,5,5329,4,2,4,424,Platinum Customer
190,29,4,704,3,1,1,311,Gold Customer
192,79,4,1519,1,1,1,111,Bronze Customer
193,24,5,2551,3,2,2,322,Silver Customer
194,108,3,2608,1,1,2,112,Bronze Customer
195,0,7,9633,4,3,4,434,Platinum Customer
196,146,8,3737,1,4,3,143,Bronze Customer
198,58,9,6631,2,4,4,244,Gold Customer
199,15,4,2650,3,1,2,312,Silver Customer
200,7,9,7283,4,4,4,444,Platinum Customer
201,28,8,4369,3,4,4,344,Silver Customer
202,18,3,1295,3,1,1,311,Gold Customer
203,11,5,1481,3,2,1,321,Silver Customer
204,27,8,6287,3,4,4,344,Silver Customer
205,52,9,2008,2,4,2,242,Gold Customer
208,27,5,3342,3,2,3,323,Silver Customer
210,22,6,2957,3,3,3,333,Silver Customer
212,187,2,1790,1,1,2,112,Bronze Customer
213,28,10,7534,3,4,4,344,Silver Customer
214,56,5,1595,2,2,1,221,Gold Customer
215,3,8,3889,4,4,3,443,Platinum Customer
216,16,4,2152,3,1,2,312,Silver Customer
218,14,4,1476,3,1,1,311,Gold Customer
219,40,6,1688,2,3,1,231,Gold Customer
220,15,6,4304,3,3,4,334,Silver Customer
221,18,6,3865,3,3,3,333,Silver Customer
222,20,2,1428,3,1,1,311,Gold Customer
224,1,6,3692,4,3,3,433,Platinum Customer
225,37,3,1587,2,1,1,211,Gold Customer
226,116,2,1173,1,1,1,111,Bronze Customer
227,26,5,3906,3,2,3,323,Silver Customer
228,77,5,3719,1,2,3,123,Bronze Customer
230,36,11,5319,2,4,4,244,Gold Customer
231,45,4,2344,2,1,2,212,Gold Customer
232,141,6,3157,1,3,3,133,Bronze Customer
233,17,6,2187,3,3,2,332,Silver Customer
234,11,9,5763,3,4,4,344,Silver Customer
235,2,11,4685,4,4,4,444,Platinum Customer
236,6,4,2434,4,1,2,412,Platinum Customer
237,26,8,3635,3,4,3,343,Silver Customer
239,1,9,5928,4,4,4,444,Platinum Customer
240,88,6,2338,1,3,2,132,Bronze Customer
241,47,4,1922,2,1,2,212,Gold Customer
242,131,7,2558,1,3,2,132,Bronze Customer
243,74,5,2193,2,2,2,222,Gold Customer
245,12,5,2213,3,2,2,322,Silver Customer
246,27,9,3174,3,4,3,343,Silver Customer
247,112,7,4913,1,3,4,134,Bronze Customer
248,134,7,3193,1,3,3,133,Bronze Customer
249,47,9,2236,2,4,2,242,Gold Customer
252,62,5,2597,2,2,2,222,Gold Customer
253,17,5,1191,3,2,1,321,Silver Customer
254,41,7,6780,2,3,4,234,Gold Customer
255,57,11,6813,2,4,4,244,Gold Customer
256,0,5,1728,4,2,1,421,Platinum Customer
258,18,5,1642,3,2,1,321,Silver Customer
259,27,4,2124,3,1,2,312,Silver Customer
260,8,9,3381,4,4,3,443,Platinum Customer
263,46,7,3476,2,3,3,233,Gold Customer
264,48,4,1025,2,1,1,211,Gold Customer
265,79,4,2692,1,1,2,112,Bronze Customer
266,32,4,1742,3,1,1,311,Gold Customer
268,69,4,2713,2,1,2,212,Gold Customer
269,168,5,1668,1,2,1,121,Bronze Customer
271,202,2,1026,1,1,1,111,Bronze Customer
272,91,7,3842,1,3,3,133,Bronze Customer
274,149,4,790,1,1,1,111,Bronze Customer
279,14,6,2455,3,3,2,332,Silver Customer
281,9,4,2233,3,1,2,312,Silver Customer
282,69,2,624,2,1,1,211,Gold Customer
283,91,5,4792,1,2,4,124,Bronze Customer
284,133,5,3251,1,2,3,123,Bronze Customer
285,7,6,2626,4,3,2,432,Platinum Customer
286,137,4,1954,1,1,2,112,Bronze Customer
287,138,1,1408,1,1,1,111,Bronze Customer
289,44,9,3924,2,4,3,243,Gold Customer
291,40,2,605,2,1,1,211,Gold Customer
293,10,5,1991,3,2,2,322,Silver Customer
297,8,4,3599,4,1,3,413,Platinum Customer
298,8,9,4382,4,4,4,444,Platinum Customer
299,92,7,6897,1,3,4,134,Bronze Customer
300,156,5,3475,1,2,3,123,Bronze Customer
301,93,2,89,1,1,1,111,Bronze Customer
303,43,3,3247,2,1,3,213,Gold Customer
304,80,9,2785,1,4,2,142,Bronze Customer
305,33,6,2229,3,3,2,332,Silver Customer
306,123,2,239,1,1,1,111,Bronze Customer
307,15,9,3660,3,4,3,343,Silver Customer
308,25,6,4086,3,3,3,333,Silver Customer
309,9,4,2208,3,1,2,312,Silver Customer
310,8,7,4744,4,3,4,434,Platinum Customer
311,61,6,4054,2,3,3,233,Gold Customer
312,13,5,4570,3,2,4,324,Silver Customer
313,17,6,3186,3,3,3,333,Silver Customer
314,20,8,3200,3,4,3,343,Silver Customer
315,27,9,2200,3,4,2,342,Silver Customer
316,11,4,2158,3,1,2,312,Silver Customer
317,80,4,2766,1,1,2,112,Bronze Customer
318,9,7,3632,3,3,3,333,Silver Customer
320,12,10,7204,3,4,4,344,Silver Customer
322,1,11,10336,4,4,4,444,Platinum Customer
323,35,6,2020,3,3,2,332,Silver Customer
324,21,5,1779,3,2,1,321,Silver Customer
325,133,6,4465,1,3,4,134,Bronze Customer
326,161,3,1201,1,1,1,111,Bronze Customer
327,16,5,3498,3,2,3,323,Silver Customer
328,4,8,2357,4,4,2,442,Platinum Customer
329,34,6,3618,3,3,3,333,Silver Customer
330,107,6,5296,1,3,4,134,Bronze Customer
331,82,6,4404,1,3,4,134,Bronze Customer
332,263,2,239,1,1,1,111,Bronze Customer
333,22,6,3186,3,3,3,333,Silver Customer
334,56,6,2127,2,3,2,232,Gold Customer
337,37,6,3388,2,3,3,233,Gold Customer
339,58,5,4327,2,2,4,224,Gold Customer
341,134,2,955,1,1,1,111,Bronze Customer
342,93,3,468,1,1,1,111,Bronze Customer
343,103,9,5193,1,4,4,144,Bronze Customer
345,19,7,3971,3,3,3,333,Silver Customer
346,12,9,6420,3,4,4,344,Silver Customer
347,59,7,8326,2,3,4,234,Gold Customer
348,125,6,2071,1,3,2,132,Bronze Customer
349,166,5,1669,1,2,1,121,Bronze Customer
350,4,6,1008,4,3,1,431,Platinum Customer
351,11,2,1438,3,1,1,311,Gold Customer
352,25,6,4404,3,3,4,334,Silver Customer
354,67,6,3101,2,3,3,233,Gold Customer
355,45,5,2662,2,2,2,222,Gold Customer
359,8,10,2921,4,4,3,443,Platinum Customer
360,8,5,5070,4,2,4,424,Platinum Customer
361,146,7,3428,1,3,3,133,Bronze Customer
362,89,4,463,1,1,1,111,Bronze Customer
363,14,6,9458,3,3,4,334,Silver Customer
364,11,6,3329,3,3,3,333,Silver Customer
365,50,7,4724,2,3,4,234,Gold Customer
366,115,6,2692,1,3,2,132,Bronze Customer
367,43,5,2022,2,2,2,222,Gold Customer
369,101,8,3931,1,4,3,143,Bronze Customer
371,9,5,5004,3,2,4,324,Silver Customer
372,31,8,2598,3,4,2,342,Silver Customer
373,223,1,1103,1,1,1,111,Bronze Customer
374,13,6,5271,3,3,4,334,Silver Customer
375,91,4,487,1,1,1,111,Bronze Customer
376,43,3,368,2,1,1,211,Gold Customer
377,6,11,4124,4,4,4,444,Platinum Customer
378,124,7,3236,1,3,3,133,Bronze Customer
380,35,8,6196,3,4,4,344,Silver Customer
382,35,7,1657,3,3,1,331,Silver Customer
385,78,9,5220,1,4,4,144,Bronze Customer
386,66,5,2415,2,2,2,222,Gold Customer
387,31,3,3417,3,1,3,313,Silver Customer
389,113,6,2123,1,3,2,132,Bronze Customer
390,76,5,869,2,2,1,221,Gold Customer
392,101,7,5025,1,3,4,134,Bronze Customer
393,146,2,866,1,1,1,111,Bronze Customer
394,45,8,5445,2,4,4,244,Gold Customer
395,30,6,3528,3,3,3,333,Silver Customer
396,29,6,4647,3,3,4,334,Silver Customer
397,45,5,2618,2,2,2,222,Gold Customer
399,49,6,5020,2,3,4,234,Gold Customer
400,134,5,2688,1,2,2,122,Bronze Customer
401,29,7,3643,3,3,3,333,Silver Customer
402,56,6,4965,2,3,4,234,Gold Customer
404,18,8,4874,3,4,4,344,Silver Customer
406,106,5,3445,1,2,3,123,Bronze Customer
408,17,5,3082,3,2,3,323,Silver Customer
409,13,4,2267,3,1,2,312,Silver Customer
411,187,5,2553,1,2,2,122,Bronze Customer
414,47,6,2304,2,3,2,232,Gold Customer
415,248,2,1490,1,1,1,111,Bronze Customer
417,70,7,3807,2,3,3,233,Gold Customer
419,14,7,5027,3,3,4,334,Silver Customer
420,59,10,3652,2,4,3,243,Gold Customer
421,56,6,3952,2,3,3,233,Gold Customer
424,74,7,4525,2,3,4,234,Gold Customer
425,25,7,7388,3,3,4,334,Silver Customer
426,59,8,5302,2,4,4,244,Gold Customer
427,109,4,2515,1,1,2,112,Bronze Customer
428,51,8,3355,2,4,3,243,Gold Customer
429,18,8,3652,3,4,3,343,Silver Customer
430,65,6,5625,2,3,4,234,Gold Customer
431,138,1,1215,1,1,1,111,Bronze Customer
432,21,8,5110,3,4,4,344,Silver Customer
433,15,9,3754,3,4,3,343,Silver Customer
435,102,4,4727,1,1,4,114,Bronze Customer
436,50,3,2124,2,1,2,212,Gold Customer
437,48,6,3045,2,3,3,233,Gold Customer
438,51,8,7692,2,4,4,244,Gold Customer
440,11,8,2481,3,4,2,342,Silver Customer
441,62,3,1750,2,1,1,211,Gold Customer
444,45,7,3807,2,3,3,233,Gold Customer
445,24,11,8081,3,4,4,344,Silver Customer
446,52,8,5363,2,4,4,244,Gold Customer
447,0,5,2690,4,2,2,422,Platinum Customer
448,188,4,2413,1,1,2,112,Bronze Customer
449,133,6,3292,1,3,3,133,Bronze Customer
450,82,4,3178,1,1,3,113,Bronze Customer
452,24,5,1561,3,2,1,321,Silver Customer
455,67,3,1600,2,1,1,211,Gold Customer
456,88,5,2183,1,2,2,122,Bronze Customer
457,115,5,3680,1,2,3,123,Bronze Customer
458,26,5,1247,3,2,1,321,Silver Customer
459,38,5,2402,2,2,2,222,Gold Customer
461,20,8,5722,3,4,4,344,Silver Customer
463,59,7,3829,2,3,3,233,Gold Customer
465,4,6,3488,4,3,3,433,Platinum Customer
467,169,6,3850,1,3,3,133,Bronze Customer
468,94,6,4063,1,3,3,133,Bronze Customer
469,101,10,4177,1,4,4,144,Bronze Customer
470,9,7,1890,3,3,2,332,Silver Customer
471,48,6,3918,2,3,3,233,Gold Customer
472,49,5,3309,2,2,3,223,Gold Customer
473,115,9,8364,1,4,4,144,Bronze Customer
474,97,2,1520,1,1,1,111,Bronze Customer
477,35,5,3375,3,2,3,323,Silver Customer
481,14,2,1617,3,1,1,311,Gold Customer
483,40,7,2307,2,3,2,232,Gold Customer
484,19,5,1704,3,2,1,321,Silver Customer
485,14,6,2715,3,3,2,332,Silver Customer
486,91,5,4915,1,2,4,124,Bronze Customer
487,139,2,687,1,1,1,111,Bronze Customer
488,27,7,1172,3,3,1,331,Silver Customer
489,124,5,2073,1,2,2,122,Bronze Customer
490,53,9,4593,2,4,4,244,Gold Customer
491,68,7,2735,2,3,2,232,Gold Customer
492,89,4,2707,1,1,2,112,Bronze Customer
493,75,3,151,2,1,1,211,Gold Customer
495,128,6,4087,1,3,3,133,Bronze Customer
496,45,4,1310,2,1,1,211,Gold Customer
498,7,7,4982,4,3,4,434,Platinum Customer
499,55,11,4043,2,4,3,243,Gold Customer
500,24,8,3977,3,4,3,343,Silver Customer
502,166,4,2508,1,1,2,112,Bronze Customer
503,83,3,1280,1,1,1,111,Bronze Customer
504,136,8,2714,1,4,2,142,Bronze Customer
506,56,10,6985,2,4,4,244,Gold Customer
508,155,4,2587,1,1,2,112,Bronze Customer
509,89,6,4389,1,3,4,134,Bronze Customer
511,11,5,2782,3,2,2,322,Silver Customer
512,95,4,1136,1,1,1,111,Bronze Customer
515,14,8,5916,3,4,4,344,Silver Customer
516,19,10,4722,3,4,4,344,Silver Customer
517,10,6,2632,3,3,2,332,Silver Customer
518,261,3,938,1,1,1,111,Bronze Customer
520,16,5,819,3,2,1,321,Silver Customer
521,154,2,624,1,1,1,111,Bronze Customer
523,18,6,2795,3,3,2,332,Silver Customer
524,138,7,2024,1,3,2,132,Bronze Customer
525,119,8,3584,1,4,3,143,Bronze Customer
527,43,2,1694,2,1,1,211,Gold Customer
528,134,7,4175,1,3,4,134,Bronze Customer
529,12,6,2339,3,3,2,332,Silver Customer
530,162,3,1751,1,1,1,111,Bronze Customer
531,61,5,1761,2,2,1,221,Gold Customer
532,28,5,2963,3,2,3,323,Silver Customer
533,2,6,5387,4,3,4,434,Platinum Customer
536,32,3,2832,3,1,3,313,Silver Customer
537,49,3,825,2,1,1,211,Gold Customer
538,4,7,6447,4,3,4,434,Platinum Customer
540,79,6,1821,1,3,2,132,Bronze Customer
542,38,6,2098,2,3,2,232,Gold Customer
543,0,5,1924,4,2,2,422,Platinum Customer
544,173,4,2246,1,1,2,112,Bronze Customer
545,6,6,5665,4,3,4,434,Platinum Customer
546,37,5,4449,2,2,4,224,Gold Customer
547,74,6,2901,2,3,3,233,Gold Customer
549,40,8,3751,2,4,3,243,Gold Customer
551,152,4,2850,1,1,3,113,Bronze Customer
552,159,4,1577,1,1,1,111,Bronze Customer
553,19,6,2566,3,3,2,332,Silver Customer
554,38,3,1670,2,1,1,211,Gold Customer
555,165,4,3505,1,1,3,113,Bronze Customer
559,6,4,1824,4,1,2,412,Platinum Customer
560,41,6,3583,2,3,3,233,Gold Customer
563,33,7,1931,3,3,2,332,Silver Customer
564,11,6,2143,3,3,2,332,Silver Customer
565,104,10,7079,1,4,4,144,Bronze Customer
566,52,3,2145,2,1,2,212,Gold Customer
568,91,7,1258,1,3,1,131,Bronze Customer
569,98,4,6084,1,1,4,114,Bronze Customer
570,35,6,3446,3,3,3,333,Silver Customer
571,72,3,2284,2,1,2,212,Gold Customer
572,13,6,2600,3,3,2,332,Silver Customer
574,277,4,2172,1,1,2,112,Bronze Customer
575,248,2,714,1,1,1,111,Bronze Customer
576,7,6,4580,4,3,4,434,Platinum Customer
579,52,9,4204,2,4,4,244,Gold Customer
580,24,5,2185,3,2,2,322,Silver Customer
581,53,4,2223,2,1,2,212,Gold Customer
583,31,4,2258,3,1,2,312,Silver Customer
584,132,4,1270,1,1,1,111,Bronze Customer
585,97,6,2174,1,3,2,132,Bronze Customer
586,90,3,2562,1,1,2,112,Bronze Customer
587,53,6,3293,2,3,3,233,Gold Customer
588,19,5,3603,3,2,3,323,Silver Customer
589,10,3,1397,3,1,1,311,Gold Customer
590,43,11,6119,2,4,4,244,Gold Customer
591,221,2,484,1,1,1,111,Bronze Customer
592,199,4,1071,1,1,1,111,Bronze Customer
595,184,3,2011,1,1,2,112,Bronze Customer
596,85,3,3836,1,1,3,113,Bronze Customer
597,61,5,1830,2,2,2,222,Gold Customer
598,131,7,3535,1,3,3,133,Bronze Customer
600,206,3,1854,1,1,2,112,Bronze Customer
601,58,5,1423,2,2,1,221,Gold Customer
603,49,7,3148,2,3,3,233,Gold Customer
604,69,6,4661,2,3,4,234,Gold Customer
605,2,8,5025,4,4,4,444,Platinum Customer
606,55,6,2488,2,3,2,232,Gold Customer
607,58,10,7137,2,4,4,244,Gold Customer
608,85,8,4050,1,4,3,143,Bronze Customer
609,36,4,2168,2,1,2,212,Gold Customer
610,46,9,3399,2,4,3,243,Gold Customer
611,3,8,3500,4,4,3,443,Platinum Customer
612,1,4,2074,4,1,2,412,Platinum Customer
613,3,6,2098,4,3,2,432,Platinum Customer
615,42,4,3620,2,1,3,213,Gold Customer
617,20,4,2313,3,1,2,312,Silver Customer
618,308,2,1202,1,1,1,111,Bronze Customer
619,65,7,3378,2,3,3,233,Gold Customer
620,103,8,1981,1,4,2,142,Bronze Customer
623,93,3,1636,1,1,1,111,Bronze Customer
624,90,3,3352,1,1,3,113,Bronze Customer
625,16,6,2326,3,3,2,332,Silver Customer
626,54,9,3437,2,4,3,243,Gold Customer
628,54,5,1313,2,2,1,221,Gold Customer
629,64,8,2245,2,4,2,242,Gold Customer
630,53,7,3717,2,3,3,233,Gold Customer
631,16,6,1767,3,3,1,331,Silver Customer
632,41,3,1726,2,1,1,211,Gold Customer
634,17,7,2853,3,3,3,333,Silver Customer
637,7,13,5402,4,4,4,444,Platinum Customer
639,8,6,2516,4,3,2,432,Platinum Customer
640,10,8,4278,3,4,4,344,Silver Customer
641,202,4,2456,1,1,2,112,Bronze Customer
642,24,7,2724,3,3,2,332,Silver Customer
643,197,4,2308,1,1,2,112,Bronze Customer
644,157,3,549,1,1,1,111,Bronze Customer
646,110,4,2533,1,1,2,112,Bronze Customer
647,42,9,5279,2,4,4,244,Gold Customer
648,57,7,4222,2,3,4,234,Gold Customer
649,11,5,263,3,2,1,321,Silver Customer
650,50,6,2904,2,3,3,233,Gold Customer
651,18,3,3473,3,1,3,313,Silver Customer
652,5,9,2488,4,4,2,442,Platinum Customer
653,37,5,2623,2,2,2,222,Gold Customer
654,28,3,1374,3,1,1,311,Gold Customer
655,51,6,5753,2,3,4,234,Gold Customer
656,10,8,3749,3,4,3,343,Silver Customer
658,97,5,2596,1,2,2,122,Bronze Customer
661,34,6,3308,3,3,3,333,Silver Customer
662,86,7,3873,1,3,3,133,Bronze Customer
663,73,4,2132,2,1,2,212,Gold Customer
664,84,4,1036,1,1,1,111,Bronze Customer
666,41,5,2459,2,2,2,222,Gold Customer
667,19,5,3802,3,2,3,323,Silver Customer
668,6,7,4375,4,3,4,434,Platinum Customer
670,116,4,1542,1,1,1,111,Bronze Customer
672,50,3,3633,2,1,3,213,Gold Customer
673,2,5,2058,4,2,2,422,Platinum Customer
675,0,3,1396,4,1,1,411,Silver Customer
677,71,5,940,2,2,1,221,Gold Customer
678,94,3,1606,1,1,1,111,Bronze Customer
679,62,10,3551,2,4,3,243,Gold Customer
681,7,6,2244,4,3,2,432,Platinum Customer
682,20,7,5428,3,3,4,334,Silver Customer
686,37,5,2073,2,2,2,222,Gold Customer
687,8,6,812,4,3,1,431,Platinum Customer
688,81,4,2967,1,1,3,113,Bronze Customer
689,12,3,541,3,1,1,311,Gold Customer
692,50,9,5027,2,4,4,244,Gold Customer
694,7,5,2400,4,2,2,422,Platinum Customer
695,16,8,4659,3,4,4,344,Silver Customer
697,11,4,3996,3,1,3,313,Silver Customer
698,76,3,1295,2,1,1,211,Gold Customer
699,55,3,976,2,1,1,211,Gold Customer
701,32,6,2215,3,3,2,332,Silver Customer
704,10,10,4034,3,4,3,343,Silver Customer
705,11,4,502,3,1,1,311,Gold Customer
706,30,6,7109,3,3,4,334,Silver Customer
708,175,3,2145,1,1,2,112,Bronze Customer
709,146,5,3243,1,2,3,123,Bronze Customer
710,39,6,5201,2,3,4,234,Gold Customer
716,12,6,3777,3,3,3,333,Silver Customer
717,14,6,1857,3,3,2,332,Silver Customer
718,34,8,2164,3,4,2,342,Silver Customer
719,11,8,4227,3,4,4,344,Silver Customer
720,20,10,7212,3,4,4,344,Silver Customer
722,87,5,2934,1,2,3,123,Bronze Customer
723,15,8,3489,3,4,3,343,Silver Customer
724,23,8,5073,3,4,4,344,Silver Customer
725,3,11,7321,4,4,4,444,Platinum Customer
726,54,3,2965,2,1,3,213,Gold Customer
727,61,6,3970,2,3,3,233,Gold Customer
728,25,9,6411,3,4,4,344,Silver Customer
729,1,9,8953,4,4,4,444,Platinum Customer
732,64,5,3269,2,2,3,223,Gold Customer
734,89,3,1140,1,1,1,111,Bronze Customer
735,87,4,3025,1,1,3,113,Bronze Customer
739,1,10,4842,4,4,4,444,Platinum Customer
742,10,6,1246,3,3,1,331,Silver Customer
743,89,4,3908,1,1,3,113,Bronze Customer
748,46,9,3516,2,4,3,243,Gold Customer
749,80,9,1830,1,4,2,142,Bronze Customer
750,58,6,5391,2,3,4,234,Gold Customer
751,130,2,96,1,1,1,111,Bronze Customer
752,20,8,2952,3,4,3,343,Silver Customer
753,15,8,7727,3,4,4,344,Silver Customer
754,210,2,93,1,1,1,111,Bronze Customer
755,95,3,847,1,1,1,111,Bronze Customer
756,25,6,2121,3,3,2,332,Silver Customer
757,72,5,2946,2,2,3,223,Gold Customer
759,23,8,2646,3,4,2,342,Silver Customer
761,145,5,1896,1,2,2,122,Bronze Customer
763,74,6,3894,2,3,3,233,Gold Customer
764,79,3,1364,1,1,1,111,Bronze Customer
767,42,5,2438,2,2,2,222,Gold Customer
768,5,9,5580,4,4,4,444,Platinum Customer
769,19,8,5070,3,4,4,344,Silver Customer
770,49,6,4457,2,3,4,234,Gold Customer
772,2,6,4423,4,3,4,434,Platinum Customer
774,143,1,144,1,1,1,111,Bronze Customer
775,58,7,2862,2,3,3,233,Gold Customer
776,13,9,2201,3,4,2,342,Silver Customer
777,27,6,3184,3,3,3,333,Silver Customer
778,263,3,698,1,1,1,111,Bronze Customer
779,82,4,1186,1,1,1,111,Bronze Customer
781,125,5,2256,1,2,2,122,Bronze Customer
782,25,6,3627,3,3,3,333,Silver Customer
783,96,5,3498,1,2,3,123,Bronze Customer
784,143,2,304,1,1,1,111,Bronze Customer
785,18,6,1813,3,3,2,332,Silver Customer
788,39,5,2415,2,2,2,222,Gold Customer
789,4,8,2892,4,4,3,443,Platinum Customer
791,123,6,3819,1,3,3,133,Bronze Customer
