transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,profit,gender,past_3_years_bike_related_purchases,age,age_group,job_title,job_industry_category,wealth_segment,owns_car,postcode,state,property_valuation,country,recency,owns_car_flag
3938,95,993,12/30/2017,FALSE,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,1/25/1997,139.23,Female,71,44,40-50,Account Coordinator,Argiculture,High Net Worth,No,2871,New South Wales,3,Australia,0,0
4669,29,1052,12/30/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,11/3/2000,834.94,Female,31,35,30-40,Junior Executive,Financial Services,High Net Worth,No,3184,Victoria,11,Australia,0,0
5651,25,2713,12/30/2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,5/26/1993,709.34,Male,55,67,60+,Statistician II,Retail,Affluent Customer,Yes,2049,New South Wales,11,Australia,0,1
7311,1,1328,12/30/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,9/15/2012,448.68,Male,19,40,30-40,Budget/Accounting Analyst IV,IT,Mass Customer,Yes,3806,Victoria,8,Australia,0,1
7518,65,3433,12/30/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,5/21/2015,1028.76,Female,10,23,<30,Computer Systems Analyst II,Property,Mass Customer,No,3174,Victoria,8,Australia,0,0
7547,23,1407,12/30/2017,TRUE,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,6/23/1999,75.75,Female,43,41,40-50,Structural Analysis Engineer,Manufacturing,Mass Customer,Yes,3015,Victoria,10,Australia,0,1
8111,79,1970,12/30/2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,9/9/2003,737.57,Male,51,39,30-40,Desktop Support Technician,Manufacturing,Mass Customer,No,3134,Victoria,10,Australia,0,0
9158,88,86,12/30/2017,TRUE,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,7/15/1993,182.81,Male,75,32,30-40,Occupational Therapist,Health,High Net Worth,Yes,2075,New South Wales,11,Australia,0,1
9820,31,1425,12/30/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,3/22/2002,547.28,Male,20,35,30-40,General Manager,Retail,High Net Worth,Yes,2761,New South Wales,7,Australia,0,1
10905,0,2659,12/30/2017,FALSE,Approved,Solex,Standard,medium,medium,100.35,75.26,1/16/2004,25.09,Female,81,47,40-50,Professor,Argiculture,High Net Worth,Yes,4151,QLD,4,Australia,0,1
12453,12,151,12/30/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,11/5/2010,1069.55,Male,36,56,50-60,Marketing Manager,Manufacturing,Mass Customer,Yes,2759,New South Wales,9,Australia,0,1
12667,89,1594,12/30/2017,TRUE,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,7/9/2016,1305.25,Male,62,40,30-40,Human Resources Manager,Property,Mass Customer,No,2100,New South Wales,10,Australia,0,0
12826,11,3016,12/30/2017,TRUE,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,3/3/2014,195.34,Male,25,36,30-40,Analog Circuit Design manager,Financial Services,High Net Worth,No,2745,New South Wales,10,Australia,0,0
13575,98,2396,12/30/2017,FALSE,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,5/6/1991,143.36,Female,40,48,40-50,Recruiter,Retail,Affluent Customer,Yes,4128,QLD,7,Australia,0,1
15270,3,195,12/30/2017,FALSE,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,9/15/2012,1702.55,Female,34,63,60+,Project Manager,Manufacturing,Mass Customer,No,3143,Victoria,9,Australia,0,0
15757,30,3130,12/30/2017,FALSE,Approved,Solex,Standard,high,medium,748.17,448.9,11/10/1991,299.27,Female,53,50,40-50,VP Product Management,Telecommunications,Mass Customer,No,4503,QLD,4,Australia,0,0
16166,89,2345,12/30/2017,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,10/10/2002,1305.25,Female,50,35,30-40,Systems Administrator I,Retail,Affluent Customer,Yes,4070,QLD,8,Australia,0,1
16258,14,2055,12/30/2017,TRUE,Approved,Solex,Standard,high,large,1842.92,1105.75,10/24/1995,737.17,Male,46,41,40-50,Administrative Assistant III,Retail,High Net Worth,No,2327,New South Wales,3,Australia,0,0
16759,27,256,12/30/2017,FALSE,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,6/7/2010,903.11,Female,16,46,40-50,Director of Sales,Health,High Net Worth,Yes,2287,New South Wales,7,Australia,0,1
17182,26,3169,12/30/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,11/22/2016,1230.3,Male,96,57,50-60,Payment Adjustment Coordinator,IT,Mass Customer,Yes,3027,Victoria,7,Australia,0,1
17394,20,933,12/30/2017,FALSE,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,4/5/1996,195.34,Female,75,25,<30,Help Desk Operator,Retail,Mass Customer,Yes,2195,New South Wales,9,Australia,0,1
18609,27,2372,12/30/2017,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,6/23/1999,110.81,Male,14,44,40-50,Clinical Specialist,Health,Affluent Customer,No,3149,Victoria,12,Australia,0,0
19346,4,543,12/30/2017,FALSE,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,4/16/2011,451.65,Male,9,48,40-50,Account Coordinator,Retail,Affluent Customer,Yes,2307,New South Wales,4,Australia,0,1
19907,41,1721,12/30/2017,FALSE,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,12/7/2005,209.84,Female,82,41,40-50,Senior Quality Engineer,Financial Services,High Net Worth,No,4817,QLD,4,Australia,0,0
19959,4,1787,12/30/2017,FALSE,Approved,Solex,Standard,medium,medium,1483.2,99.59,10/22/2005,1383.61,Male,2,45,40-50,Executive Secretary,Retail,High Net Worth,Yes,3677,Victoria,1,Australia,0,1
983,21,729,12/29/2017,FALSE,Approved,Solex,Standard,medium,large,1071.23,380.74,11/10/1991,690.49,Female,30,48,40-50,Analog Circuit Design manager,Health,Affluent Customer,No,3150,Victoria,9,Australia,1,0
1015,35,2369,12/29/2017,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,3/19/2008,903.11,Female,80,25,<30,Financial Analyst,Financial Services,Mass Customer,Yes,3219,Victoria,5,Australia,1,1
1041,30,1607,12/29/2017,FALSE,Approved,Solex,Standard,high,medium,748.17,448.9,3/18/2003,299.27,Female,39,33,30-40,Marketing Assistant,Retail,Mass Customer,Yes,3809,Victoria,5,Australia,1,1
2257,31,2908,12/29/2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,7/20/1999,57.73,Female,42,66,60+,Social Worker,Health,Affluent Customer,Yes,3175,Victoria,8,Australia,1,1
4066,81,886,12/29/2017,FALSE,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,7/10/1991,64.51,Female,53,47,40-50,Accounting Assistant III,Health,Mass Customer,No,2065,New South Wales,10,Australia,1,0
5658,38,2555,12/29/2017,TRUE,Approved,Solex,Standard,medium,medium,1577.53,826.51,3/16/2011,751.02,Male,43,45,40-50,Health Coach IV,Health,Affluent Customer,No,2430,New South Wales,7,Australia,1,0
6089,89,1390,12/29/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,6/7/2010,1230.27,Female,74,21,<30,Accounting Assistant I,Retail,High Net Worth,Yes,3082,Victoria,7,Australia,1,1
6110,94,884,12/29/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,6/9/2013,641.64,Male,11,43,40-50,Web Designer IV,Property,Mass Customer,No,3191,Victoria,10,Australia,1,0
6344,49,1629,12/29/2017,TRUE,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,6/4/2012,133.38,Male,46,47,40-50,VP Accounting,Financial Services,Mass Customer,No,4413,QLD,5,Australia,1,0
6479,29,2365,12/29/2017,TRUE,Approved,Norco Bicycles,Road,medium,medium,543.39,407.54,3/22/2002,135.85,Female,2,23,<30,Structural Analysis Engineer,Argiculture,Mass Customer,Yes,4127,QLD,6,Australia,1,1
7742,43,3315,12/29/2017,FALSE,Approved,Solex,Standard,medium,medium,1151.96,649.49,4/12/1993,502.47,Female,77,27,<30,Account Executive,Property,Mass Customer,Yes,3862,Victoria,7,Australia,1,1
8352,99,3262,12/29/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,8/10/1994,456.45,Male,65,62,60+,Product Engineer,Entertainment,Mass Customer,No,4221,QLD,8,Australia,1,0
9508,18,1120,12/29/2017,TRUE,Approved,Solex,Standard,medium,medium,575.27,431.45,3/12/2013,143.82,Female,87,41,40-50,Web Developer IV,Retail,Affluent Customer,No,2168,New South Wales,9,Australia,1,0
10996,61,856,12/29/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,5/18/2012,14.23,Male,63,33,30-40,Quality Engineer,Financial Services,Mass Customer,Yes,3139,Victoria,7,Australia,1,1
11522,22,76,12/29/2017,TRUE,Approved,Solex,Standard,medium,medium,575.27,431.45,4/5/1996,143.82,Female,20,43,40-50,Statistician II,Retail,High Net Worth,Yes,4213,QLD,9,Australia,1,1
11564,36,2929,12/29/2017,TRUE,Approved,Solex,Standard,low,medium,945.04,507.58,12/19/1995,437.46,Male,97,22,<30,Nurse,Retail,Mass Customer,No,4883,QLD,3,Australia,1,0
11679,32,1991,12/29/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,3/18/2003,431.33,Male,35,28,<30,Research Nurse,Health,Mass Customer,Yes,2117,New South Wales,10,Australia,1,1
13208,57,3374,12/29/2017,FALSE,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,1/21/1991,1630.25,Female,77,62,60+,Sales Associate,Manufacturing,Mass Customer,Yes,2160,New South Wales,8,Australia,1,1
13226,41,1906,12/29/2017,TRUE,Approved,Solex,Road,medium,medium,416.98,312.74,5/10/1997,104.24,Male,69,33,30-40,Product Engineer,Retail,Mass Customer,No,2640,New South Wales,4,Australia,1,0
13311,83,612,12/29/2017,TRUE,Cancelled,Solex,Touring,medium,large,2083.94,675.03,9/16/2013,1408.91,Male,50,59,50-60,GIS Technical Architect,Health,Mass Customer,No,2087,New South Wales,11,Australia,1,0
13539,0,1538,12/29/2017,FALSE,Approved,Solex,Standard,medium,medium,71.49,53.62,12/2/2012,17.87,Male,74,32,30-40,Pharmacist,Health,High Net Worth,Yes,2177,New South Wales,8,Australia,1,1
13894,15,224,12/29/2017,TRUE,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,12/7/2005,209.84,Male,2,54,50-60,Compensation Analyst,Financial Services,Affluent Customer,No,2110,New South Wales,12,Australia,1,0
14491,90,1530,12/29/2017,TRUE,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,11/3/2000,72.6,Male,89,45,40-50,Pharmacist,Health,Mass Customer,Yes,2767,New South Wales,8,Australia,1,1
15159,64,1052,12/29/2017,TRUE,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,8/24/2011,217.51,Female,31,35,30-40,Junior Executive,Financial Services,High Net Worth,No,3184,Victoria,11,Australia,1,0
15471,0,2693,12/29/2017,TRUE,Approved,Solex,Standard,medium,medium,71.49,53.62,9/15/2012,17.87,Male,91,53,50-60,Research Assistant III,Health,High Net Worth,Yes,4078,QLD,7,Australia,1,1
15638,79,2130,12/29/2017,TRUE,Approved,Solex,Touring,medium,large,2083.94,675.03,8/2/2015,1408.91,Female,95,31,30-40,Structural Engineer,Property,High Net Worth,Yes,2480,New South Wales,2,Australia,1,1
16354,7,2152,12/29/2017,TRUE,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,8/5/2003,745.94,Female,40,53,50-60,Database Administrator III,Manufacturing,Mass Customer,Yes,3071,Victoria,10,Australia,1,1
16362,0,1470,12/29/2017,TRUE,Approved,WeareA2B,Standard,medium,small,175.89,131.92,2/16/2003,43.97,Male,62,26,<30,Senior Cost Accountant,Financial Services,High Net Worth,Yes,2528,New South Wales,8,Australia,1,1
17320,51,2236,12/29/2017,TRUE,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,10/4/1997,802.26,Male,0,53,50-60,Data Coordiator,Manufacturing,Affluent Customer,Yes,2335,New South Wales,5,Australia,1,1
17993,95,793,12/29/2017,FALSE,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,8/25/1997,139.23,Female,97,32,30-40,Actuary,Financial Services,High Net Worth,Yes,2099,New South Wales,10,Australia,1,1
18200,5,1478,12/29/2017,FALSE,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,8/9/2005,451.65,Male,40,29,<30,VP Quality Control,Financial Services,High Net Worth,No,2340,New South Wales,2,Australia,1,0
18326,25,964,12/29/2017,TRUE,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,4/10/2012,802.26,Female,35,27,<30,Assistant Professor,Financial Services,High Net Worth,No,2089,New South Wales,12,Australia,1,0
18428,34,739,12/29/2017,FALSE,Approved,Norco Bicycles,Road,high,large,774.53,464.72,3/18/2003,309.81,Male,36,57,50-60,Senior Editor,Manufacturing,Mass Customer,No,3191,Victoria,11,Australia,1,0
18480,96,1794,12/29/2017,FALSE,Approved,WeareA2B,Road,low,small,1172.78,1043.77,10/10/2002,129.01,Female,53,52,50-60,Administrative Officer,Property,Mass Customer,No,4878,QLD,5,Australia,1,0
18632,54,2922,12/29/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,10/18/2015,1279.4,Male,34,40,30-40,Sales Associate,Manufacturing,Affluent Customer,Yes,4210,QLD,4,Australia,1,1
18659,34,322,12/29/2017,TRUE,Approved,Norco Bicycles,Road,high,large,774.53,464.72,7/12/1994,309.81,Female,19,44,40-50,Research Associate,Financial Services,Mass Customer,Yes,4350,QLD,6,Australia,1,1
18866,71,3427,12/29/2017,FALSE,Approved,Solex,Standard,high,large,1842.92,1105.75,12/6/2016,737.17,Male,67,40,30-40,Help Desk Operator,Financial Services,Mass Customer,Yes,2226,New South Wales,9,Australia,1,1
19091,60,2082,12/29/2017,FALSE,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,8/24/2011,217.51,Female,38,42,40-50,Legal Assistant,Health,Affluent Customer,Yes,2469,New South Wales,1,Australia,1,1
19340,12,2029,12/29/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,8/17/2004,1069.55,Male,10,29,<30,Nurse,Manufacturing,Mass Customer,No,4053,QLD,8,Australia,1,0
19699,75,239,12/29/2017,FALSE,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,5/22/2006,1010.02,Male,62,29,<30,Registered Nurse,Health,Affluent Customer,No,4514,QLD,3,Australia,1,0
260,31,3393,12/28/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,3/16/2011,57.73,Female,23,67,60+,Technical Writer,Retail,Mass Customer,Yes,2093,New South Wales,12,Australia,2,1
656,26,3470,12/28/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,8/2/2015,1230.3,Female,56,54,50-60,Recruiting Manager,Health,Affluent Customer,Yes,3121,Victoria,11,Australia,2,1
750,75,2195,12/28/2017,FALSE,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,7/10/1991,1010.02,Female,94,34,30-40,GIS Technical Architect,Financial Services,Affluent Customer,Yes,4179,QLD,10,Australia,2,1
802,36,772,12/28/2017,FALSE,Approved,Solex,Standard,low,medium,945.04,507.58,12/19/1995,437.46,Female,12,23,<30,Community Outreach Specialist,Entertainment,Mass Customer,No,2567,New South Wales,7,Australia,2,0
1492,0,1623,12/28/2017,FALSE,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,1/21/1991,45.96,Female,29,24,<30,Software Test Engineer III,Entertainment,High Net Worth,Yes,3264,Victoria,1,Australia,2,1
1561,46,1545,12/28/2017,TRUE,Approved,Solex,Standard,low,medium,1289.85,74.51,11/25/2001,1215.34,Male,34,44,40-50,Associate Professor,Health,Mass Customer,Yes,3196,Victoria,10,Australia,2,1
1880,23,2780,12/28/2017,FALSE,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,5/7/2011,75.75,Male,77,36,30-40,Actuary,Financial Services,Affluent Customer,Yes,4869,QLD,2,Australia,2,1
2079,77,1297,12/28/2017,TRUE,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,1/10/2011,445.21,Male,91,40,30-40,Social Worker,Health,Mass Customer,No,4210,QLD,7,Australia,2,0
2104,47,3031,12/28/2017,TRUE,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,10/1/2006,189.28,Male,95,25,<30,Staff Scientist,Health,Mass Customer,Yes,4305,QLD,1,Australia,2,1
2643,42,2705,12/28/2017,TRUE,Approved,OHM Cycles,Road,medium,small,1810,1610.9,3/19/2008,199.1,Female,11,25,<30,Nuclear Power Engineer,Manufacturing,Mass Customer,No,4815,QLD,2,Australia,2,0
2934,57,673,12/28/2017,FALSE,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,10/18/2015,1630.25,Male,35,46,40-50,VP Sales,Health,Mass Customer,Yes,2304,New South Wales,7,Australia,2,1
4642,82,1748,12/28/2017,FALSE,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,5/10/2005,459.46,Male,83,65,60+,Recruiter,Manufacturing,Mass Customer,Yes,4035,QLD,8,Australia,2,1
4787,64,2464,12/28/2017,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,5/18/2012,872.89,Male,78,38,30-40,Speech Pathologist,Retail,Mass Customer,No,2573,New South Wales,8,Australia,2,0
4856,68,2418,12/28/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,10/24/1995,1592.19,Female,82,51,50-60,Software Engineer III,Property,Mass Customer,Yes,3024,Victoria,5,Australia,2,1
4996,12,946,12/28/2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,7/25/2004,1055.82,Female,16,60,50-60,Research Associate,Manufacturing,High Net Worth,No,2229,New South Wales,10,Australia,2,0
5939,59,1452,12/28/2017,TRUE,Approved,Solex,Standard,medium,large,1061.56,733.58,7/20/1993,327.98,Male,99,66,60+,Safety Technician III,Retail,Mass Customer,No,2567,New South Wales,8,Australia,2,0
5952,87,2109,12/28/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,5/22/2000,1592.19,Female,14,56,50-60,Account Representative II,Health,High Net Worth,Yes,2261,New South Wales,8,Australia,2,1
6462,0,3239,12/28/2017,TRUE,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,5/10/2005,72.6,Female,15,50,40-50,Staff Scientist,Health,High Net Worth,No,3793,Victoria,7,Australia,2,0
7169,44,2961,12/28/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,5/9/2011,1660.88,Male,56,46,40-50,Assistant Manager,Health,Mass Customer,Yes,3031,Victoria,8,Australia,2,1
7759,25,3054,12/28/2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2/4/2016,709.34,Female,94,56,50-60,Operator,Manufacturing,Affluent Customer,No,4275,QLD,3,Australia,2,0
7934,26,2112,12/28/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,5/26/1993,1230.3,Female,64,28,<30,Accounting Assistant I,Financial Services,Mass Customer,Yes,2164,New South Wales,8,Australia,2,1
8786,75,1983,12/28/2017,FALSE,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,1/25/1997,1010.02,Female,6,58,50-60,Assistant Media Planner,Entertainment,Affluent Customer,Yes,4127,QLD,4,Australia,2,1
9125,15,235,12/28/2017,FALSE,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,12/7/2005,209.84,Female,30,45,40-50,Social Worker,Health,Mass Customer,No,2018,New South Wales,8,Australia,2,0
10528,67,1758,12/28/2017,FALSE,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,10/22/2005,167.21,Female,16,50,40-50,Administrative Assistant I,Argiculture,Mass Customer,Yes,2800,New South Wales,2,Australia,2,1
11179,28,2120,12/28/2017,TRUE,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,8/5/1991,133.78,Male,80,24,<30,Web Designer III,Manufacturing,Mass Customer,No,2446,New South Wales,8,Australia,2,0
11332,22,843,12/28/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,11/10/1991,15.08,Male,80,32,30-40,Developer II,Manufacturing,Affluent Customer,Yes,2166,New South Wales,10,Australia,2,1
12214,94,2168,12/28/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,1/16/2004,641.64,Male,83,47,40-50,VP Accounting,Financial Services,Mass Customer,Yes,4061,QLD,5,Australia,2,1
13508,94,2611,12/28/2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,6/9/2013,641.64,Female,36,30,<30,Tax Accountant,Financial Services,Affluent Customer,No,2218,New South Wales,10,Australia,2,0
13651,27,99,12/28/2017,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,6/23/1999,110.81,Male,97,23,<30,VP Accounting,Financial Services,Mass Customer,No,2160,New South Wales,9,Australia,2,0
13733,19,2479,12/28/2017,TRUE,Approved,OHM Cycles,Road,high,large,12.01,7.21,3/8/2009,4.8,Female,81,25,<30,Community Outreach Specialist,Retail,Mass Customer,No,3195,Victoria,9,Australia,2,0
14789,80,56,12/28/2017,TRUE,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,12/16/1998,139.23,Male,44,25,<30,VP Sales,Property,Mass Customer,Yes,2127,New South Wales,10,Australia,2,1
15079,12,3452,12/28/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,7/20/1993,1069.55,Female,22,57,50-60,Marketing Manager,Retail,Mass Customer,No,2210,New South Wales,10,Australia,2,0
15958,54,533,12/28/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,4/12/2009,1279.4,Male,40,40,30-40,Database Administrator III,Retail,Mass Customer,No,2021,New South Wales,7,Australia,2,0
17574,34,605,12/28/2017,FALSE,Approved,Norco Bicycles,Road,high,large,774.53,464.72,12/19/1995,309.81,Male,13,49,40-50,Electrical Engineer,Manufacturing,Mass Customer,Yes,2761,New South Wales,8,Australia,2,1
18953,52,124,12/28/2017,TRUE,Approved,Solex,Road,medium,large,1777.8,820.78,6/23/1999,957.02,Female,27,26,<30,Administrative Assistant II,Health,High Net Worth,Yes,3074,Victoria,8,Australia,2,1
1498,53,2358,12/27/2017,TRUE,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,3/8/2009,509.97,Male,26,62,60+,Senior Sales Associate,Retail,High Net Worth,Yes,4301,QLD,2,Australia,3,1
3287,8,3114,12/27/2017,TRUE,Cancelled,Solex,Road,medium,small,1703.52,1516.13,8/17/2004,187.39,Male,48,47,40-50,Teacher,IT,Mass Customer,Yes,2620,New South Wales,5,Australia,3,1
3292,67,3335,12/27/2017,TRUE,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,10/22/2005,167.21,Male,47,42,40-50,Editor,Health,Mass Customer,No,4820,QLD,1,Australia,3,0
3335,34,739,12/27/2017,FALSE,Approved,Norco Bicycles,Road,high,large,774.53,464.72,3/18/2003,309.81,Male,36,57,50-60,Senior Editor,Manufacturing,Mass Customer,No,3191,Victoria,11,Australia,3,0
3383,14,1999,12/27/2017,FALSE,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,7/15/1993,152.55,Female,6,59,50-60,Nuclear Power Engineer,Manufacturing,Mass Customer,Yes,4216,QLD,10,Australia,3,1
3637,22,1495,12/27/2017,TRUE,Approved,Solex,Standard,medium,medium,575.27,431.45,3/8/2009,143.82,Female,4,32,30-40,Physical Therapy Assistant,Health,High Net Worth,Yes,2259,New South Wales,5,Australia,3,1
3671,91,3007,12/27/2017,FALSE,Approved,Solex,Standard,medium,medium,100.35,75.26,7/26/1999,25.09,Male,38,48,40-50,Environmental Tech,Manufacturing,Mass Customer,No,2478,New South Wales,10,Australia,3,0
3897,43,1703,12/27/2017,FALSE,Approved,Solex,Standard,medium,medium,1151.96,649.49,7/28/2014,502.47,Female,14,30,<30,Product Engineer,Telecommunications,Mass Customer,Yes,3976,Victoria,6,Australia,3,1
4817,50,3475,12/27/2017,FALSE,Approved,WeareA2B,Standard,medium,small,175.89,131.92,2/16/2003,43.97,Female,12,36,30-40,Director of Sales,Retail,Affluent Customer,No,2153,New South Wales,10,Australia,3,0
5186,89,1795,12/27/2017,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,4/20/1993,1305.25,Male,40,44,40-50,Internal Auditor,Manufacturing,Affluent Customer,No,2015,New South Wales,12,Australia,3,0
6365,85,2731,12/27/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,12/16/1998,547.28,Female,74,21,<30,Accounting Assistant III,Retail,Mass Customer,Yes,2196,New South Wales,10,Australia,3,1
8439,64,2254,12/27/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,5/18/2012,872.89,Female,36,66,60+,Programmer Analyst II,Health,Affluent Customer,No,2148,New South Wales,8,Australia,3,0
